state,saledate,productcategoryname,dollarcount,dollarweight,dollartotal
MA,4/11/19,Concentrate (Each),337353.07,2562.01,339915.08
MA,6/10/19,Shake/Trim (by strain),0,2355.2,2355.2
MA,7/28/20,Vape Product,404917.14,0,404917.14
MA,9/14/20,Infused (non-edible),10363.16,0,10363.16
MA,3/28/21,Vape Product,628719.34,0,628719.34
MA,3/22/20,Infused (edible),307940.45,0,307940.45
MA,1/4/21,Infused (edible),285887.03,0,285887.03
MA,12/13/20,Kief,0,2725.8,2725.8
MA,10/22/19,Raw Pre-Rolls,0,86711.78,86711.78
MA,6/27/20,Concentrate (Each),168773.97,0,168773.97
MA,5/18/21,Kief,0,3442.43,3442.43
MA,5/18/19,Infused (non-edible),82935.98,0,82935.98
MA,7/28/20,Buds,0,1126361.19,1126361.19
MA,12/22/18,Kief,0,1363.82,1363.82
MA,9/29/19,Kief,0,1304.04,1304.04
MA,1/27/20,Infused (non-edible),8304.75,0,8304.75
MA,2/15/19,Infused (edible),101761.8,0,101761.8
MA,5/16/21,Infused (non-edible),12656.05,0,12656.05
MA,2/1/19,Concentrate,21348,3210.65,24558.65
MA,11/19/20,Infused (edible),348387,0,348387
MA,6/18/19,Shake/Trim (by strain),0,6419.36,6419.36
MA,11/17/20,Concentrate (Each),127115.67,0,127115.67
MA,2/9/21,Infused Pre-Rolls,0,9986.4,9986.4
MA,1/3/20,Infused (non-edible),19539.57,0,19539.57
MA,11/19/19,Infused (edible),202344.58,0,202344.58
MA,5/26/20,Concentrate (Each),168925.07,0,168925.07
MA,5/29/21,Shake/Trim,0,133,133
MA,5/1/21,Concentrate,0,15603.86,15603.86
MA,6/2/19,Concentrate,0,7419.85,7419.85
MA,3/21/20,Concentrate,0,24771.56,24771.56
MA,8/24/20,Infused Pre-Rolls,0,12504.79,12504.79
MA,10/30/20,Concentrate,0,44714.71,44714.71
MA,7/31/20,Infused Pre-Rolls,0,9648.53,9648.53
MA,11/9/19,Shake/Trim (by strain),0,8304.5,8304.5
MA,3/22/21,Concentrate (Each),193877.06,0,193877.06
MA,11/28/18,Infused (non-edible),3038.63,0,3038.63
MA,2/20/21,Concentrate (Each),252543.3,0,252543.3
MA,12/31/19,Raw Pre-Rolls,0,178695.68,178695.68
MA,10/11/19,Infused (non-edible),14655.73,0,14655.73
MA,12/14/20,Shake/Trim,0,1143,1143
MA,5/25/21,Vape Product,599682.33,0,599682.33
